countyFips,placeFips,area,year,cbBuildingPermit,sdoBuildingPermit,totalPopulation,householdPopulation,personsPerHousehold,totalHousingUnits,occupiedHousingUnits,vacantHousingUnits
029,17925,Crawford,2011,0,0,423,423,2.389830508,212,177,35
063,26765,Flagler,2010,0,0,561,561,2.085501859,328,269,59
009,79270,Two Buttes,2011,0,0,43,43,1.653846154,37,26,11
101,07795,Boone,2012,0,0,342,334,2.385714286,183,140,43
123,33310,Grover,2011,0,0,139,139,2.206349206,90,63,27
073,03235,Arriba,2010,0,0,193,193,2.031578947,129,95,34
097,71755,Snowmass Village,2010,0,0,"2,826","2,816",2.122079879,"2,355","1,327","1,028"
075,38590,Iliff,2012,0,0,263,263,2.504761905,128,105,23
009,81030,Vilas,2010,0,0,114,114,2.590909091,60,44,16
059,52075,Morrison,2010,0,0,428,282,2.073529412,141,136,5
063,81690,Vona,2014,0,0,106,106,2.163265306,61,49,12
061,22145,Eads,2010,0,0,609,595,2.08041958,352,286,66
109,51250,Moffat,2010,0,0,116,116,2.274509804,70,51,19
123,63045,Raymer,2010,0,0,96,96,2.594594595,55,37,18
113,54880,Norwood,2013,0,0,533,533,2.411764706,250,221,29
101,66895,Rye,2011,0,0,153,153,2.154929577,115,71,44
123,40185,Keenesburg,2011,1,0,"1,143","1,134",2.554054054,464,444,20
123,77290,Thornton (Part),2011,0,0,,,,0,,
075,58235,Peetz,2011,0,0,236,236,2.458333333,106,96,10
019,70360,Silver Plume,2011,0,0,169,169,2.011904762,145,84,61
009,79270,Two Buttes,2010,0,0,43,43,1.653846154,37,26,11
029,57300,Paonia,2011,0,0,"1,428","1,391",2.153250774,744,646,98
089,13460,Cheraw,2010,0,0,252,252,2.495049505,115,101,14
001,45530,Lochbuie (Part),2012,0,0,2,2,2,1,1,0
123,63045,Raymer,2012,0,0,98,98,2.578947368,55,38,17
083,48115,Mancos,2012,2,2,"1,335","1,262",2.311355311,611,546,65
043,15330,Coal Creek,2010,0,0,343,343,2.432624113,160,141,19
053,42330,Lake City,2014,0,0,368,368,2.12716763,448,173,275
105,12855,Center (Part),2011,0,0,216,216,2.482758621,96,87,9
043,85155,Williamsburg,2010,0,0,662,662,2.555984556,280,259,21
067,38535,Ignacio,2016,1,1,723,723,2.493103448,312,290,22
107,86475,Yampa,2011,0,0,423,423,2.445086705,214,173,41
123,54330,Northglenn (Part),2012,0,0,12,12,1.5,11,8,3
123,54330,Northglenn (Part),2014,0,0,13,13,1.444444444,11,9,2
123,27700,Fort Lupton,2012,1,2,"7,614","7,614",3.085089141,"2,554","2,468",86
117,51690,Montezuma,2010,0,0,65,65,2.6,55,25,30
039,40790,Kiowa,2010,0,0,723,688,2.457142857,322,280,42
123,45530,Lochbuie (Part),2012,29,0,"5,206","5,206",2.898663697,"1,895","1,796",99
089,48500,Manzanola,2010,0,0,434,434,2.662576687,198,163,35
051,48555,Marble,2011,0,0,131,131,2.425925926,105,54,51
029,17925,Crawford,2013,0,0,423,423,2.389830508,212,177,35
119,32650,Green Mtn. Falls (Part),2010,0,0,28,28,1.866666667,33,15,18
123,08675,Brighton (Part),2011,1,0,350,350,3.097345133,118,113,5
113,55870,Ophir,2015,0,0,191,191,2.690140845,74,71,3
123,54330,Northglenn (Part),2011,0,0,12,12,1.5,11,8,3
073,03235,Arriba,2011,0,0,192,192,2.021052632,129,95,34
101,07795,Boone,2011,1,0,342,334,2.385714286,183,140,43
123,54330,Northglenn (Part),2015,0,0,13,13,1.444444444,11,9,2
123,55045,Nunn,2011,0,0,421,421,2.505952381,197,168,29
043,64970,Rockvale,2010,0,0,487,487,2.410891089,227,202,25
001,45530,Lochbuie (Part),2011,0,0,2,2,2,1,1,0
059,08070,Bow Mar (Part),2012,0,0,281,281,3.054347826,98,92,6
099,34520,Hartman,2012,0,0,80,80,2.285714286,48,35,13
083,20770,Dolores,2010,0,1,936,927,2.150812065,501,431,70
999,45530,Lochbuie (Total),2012,29,0,"5,208","5,208",2.898163606,"1,896","1,797",99
123,08675,Brighton (Part),2012,1,0,354,354,3.07826087,118,115,3
063,81690,Vona,2012,0,0,107,107,2.183673469,61,49,12
043,27040,Florence,2010,0,0,"3,881","3,790",2.398734177,"1,749","1,580",169
119,18530,Cripple Creek,2012,1,1,"1,185","1,185",2.154545455,729,550,179
041,62660,Ramah,2012,0,0,126,126,2.210526316,68,57,11
083,20770,Dolores,2012,0,0,931,922,2.149184149,501,429,72
075,38590,Iliff,2010,0,0,266,266,2.509433962,128,106,22
105,72395,South Fork,2010,0,0,386,380,2.146892655,596,177,419
039,70635,Simla,2010,0,0,618,588,2.660633484,266,221,45
059,75640,Superior (Part),2012,0,0,,,,0,,
051,59830,Pitkin,2011,2,2,67,67,1.914285714,216,35,181
017,41010,Kit Carson,2011,0,0,236,221,2.326315789,146,95,51
075,58235,Peetz,2010,0,0,238,238,2.453608247,106,97,9
123,43605,La Salle,2012,0,0,"2,007","2,007",2.795264624,748,718,30
113,54880,Norwood,2015,2,2,550,550,2.412280702,255,228,27
123,63045,Raymer,2015,1,0,103,103,2.575,56,40,16
063,81690,Vona,2010,,0,106,106,2.163265306,61,49,12
119,18530,Cripple Creek,2011,1,1,"1,186","1,186",2.152450091,728,551,177
017,41010,Kit Carson,2010,,0,233,218,2.319148936,146,94,52
123,33310,Grover,2010,0,0,137,137,2.209677419,90,62,28
009,79270,Two Buttes,2012,0,0,42,42,1.68,37,25,12
047,07025,Black Hawk,2015,0,0,126,126,2.333333333,70,54,16
123,54330,Northglenn (Part),2010,0,0,12,12,1.5,11,8,3
035,45255,Littleton (Part),2013,0,0,29,29,1.8125,17,16,1
119,32650,Green Mtn. Falls (Part),2012,0,0,28,28,1.866666667,33,15,18
123,40515,Kersey,2012,0,0,"1,497","1,497",2.941060904,534,509,25
123,03950,Ault,2012,0,0,"1,556","1,556",2.632825719,615,591,24
035,45255,Littleton (Part),2010,0,0,28,28,1.866666667,17,15,2
123,32155,Greeley,2012,42,0,"95,148","90,508",2.633649537,"36,463","34,366","2,097"
001,45530,Lochbuie (Part),2010,0,0,2,2,2,1,1,0
035,45255,Littleton (Part),2012,0,0,29,29,1.8125,17,16,1
123,77290,Thornton (Part),2012,0,0,,,,0,,
123,43605,La Salle,2011,0,0,"1,985","1,985",2.795774648,748,710,38
075,26875,Fleming,2010,0,0,408,408,2.472727273,204,165,39
063,06530,Bethune,2010,0,0,237,237,3.038461538,84,78,6
089,75970,Swink,2010,0,0,617,617,2.487903226,286,248,38
073,29680,Genoa,2010,0,0,139,139,2.278688525,84,61,23
077,15605,Collbran,2011,1,0,705,470,2.5,222,188,34
105,72395,South Fork,2011,2,0,383,377,2.142045455,598,176,422
075,58235,Peetz,2012,0,0,235,235,2.447916667,106,96,10
009,61315,Pritchett,2010,,0,140,140,2.413793103,76,58,18
073,29680,Genoa,2012,0,0,138,138,2.262295082,84,61,23
059,52075,Morrison,2012,0,0,432,286,2.072463768,141,138,3
051,59830,Pitkin,2012,1,0,67,67,1.914285714,217,35,182
059,08070,Bow Mar (Part),2010,0,0,277,277,3.043956044,98,91,7
075,18640,Crook,2012,0,0,109,109,1.946428571,76,56,20
019,12910,Central City (Part),2011,0,0,,,,0,,
013,82735,Ward,2013,0,0,154,154,2,101,77,24
071,73715,Starkville,2010,0,0,59,59,2.269230769,35,26,9
119,86090,Woodland Park,2011,0,0,"7,174","7,174",2.46698762,"3,196","2,908",288
073,29680,Genoa,2015,0,0,142,142,2.290322581,85,62,23
123,33310,Grover,2012,0,0,140,140,2.222222222,90,63,27
043,09115,Brookside,2010,0,0,233,233,2.452631579,100,95,5
101,66895,Rye,2010,0,0,153,153,2.154929577,115,71,44
123,40185,Keenesburg,2012,1,0,"1,159","1,150",2.549889135,465,451,14
061,69700,Sheridan Lake,2010,0,0,88,88,3.034482759,43,29,14
087,36610,Hillrose,2010,0,0,264,264,2.514285714,124,105,19
089,27975,Fowler,2010,0,0,"1,182","1,145",2.176806084,597,526,71
123,63045,Raymer,2011,0,0,97,97,2.621621622,55,37,18
117,51690,Montezuma,2011,0,0,65,65,2.6,55,25,30
123,55045,Nunn,2012,0,0,426,426,2.505882353,197,170,27
029,17925,Crawford,2014,0,0,415,415,2.398843931,212,173,39
071,40570,Kim,2012,0,0,71,71,1.918918919,47,37,10
013,39195,Jamestown,2011,0,0,277,277,2.098484848,141,132,9
105,12855,Center (Part),2010,0,0,218,218,2.477272727,96,88,8
075,18640,Crook,2011,0,0,109,109,1.946428571,76,56,20
075,26875,Fleming,2011,0,0,405,405,2.469512195,204,164,40
059,08070,Bow Mar (Part),2011,0,0,279,279,3.032608696,98,92,6
087,36610,Hillrose,2011,0,0,266,266,2.509433962,124,106,18
063,81690,Vona,2013,0,0,106,106,2.163265306,61,49,12
039,23740,Elizabeth,2010,0,0,"1,358","1,358",2.777096115,531,489,42
003,37380,Hooper,2010,0,0,103,103,2.340909091,62,44,18
019,70360,Silver Plume,2010,0,0,170,170,2.023809524,145,84,61
119,80865,Victor,2012,0,0,395,395,1.872037915,337,211,126
061,34740,Haswell,2010,0,0,68,68,2.060606061,41,33,8
115,68930,Sedgwick,2011,0,0,145,145,1.933333333,110,75,35
003,37380,Hooper,2011,0,0,104,104,2.363636364,62,44,18
029,37545,Hotchkiss,2011,,0,927,927,2.239130435,471,414,57
123,06255,Berthoud (Part),2010,0,0,63,63,3.315789474,20,19,1
051,59830,Pitkin,2010,0,0,66,66,1.941176471,214,34,180
053,42330,Lake City,2015,0,0,364,364,2.128654971,448,171,277
099,34520,Hartman,2010,,0,81,81,2.314285714,48,35,13
013,82735,Ward,2010,0,0,150,150,2,101,75,26
029,12635,Cedaredge,2011,1,0,"2,215","2,215",2.10952381,"1,181","1,050",131
107,86475,Yampa,2012,1,0,425,425,2.456647399,215,173,42
113,68655,Sawpit,2011,0,0,40,40,2.222222222,23,18,5
113,68655,Sawpit,2012,0,0,41,41,2.277777778,23,18,5
081,20495,Dinosaur,2010,0,0,339,339,2.58778626,175,131,44
089,13460,Cheraw,2011,0,0,252,252,2.495049505,115,101,14
071,08345,Branson,2012,0,0,71,71,2.21875,45,32,13
063,69040,Seibert,2012,0,0,183,183,2.127906977,118,86,32
075,50040,Merino,2010,0,0,284,284,2.62962963,120,108,12
109,51250,Moffat,2011,0,0,116,116,2.274509804,70,51,19
017,41010,Kit Carson,2014,0,0,232,217,2.308510638,146,94,52
071,73715,Starkville,2011,0,0,57,57,2.28,35,25,10
123,37820,Hudson,2012,0,0,"2,565","1,529",2.906844106,560,526,34
017,41010,Kit Carson,2012,0,0,237,222,2.3125,146,96,50
119,32650,Green Mtn. Falls (Part),2011,0,0,28,28,1.866666667,33,15,18
073,29680,Genoa,2011,0,0,138,138,2.262295082,84,61,23
123,29955,Gilcrest,2012,0,0,"1,059","1,059",3.189759036,346,332,14
073,37875,Hugo,2010,0,0,730,639,2.074675325,410,308,102
087,36610,Hillrose,2012,0,0,264,264,2.514285714,124,105,19
015,60600,Poncha Springs,2011,4,0,746,746,2.302469136,367,324,43
075,38590,Iliff,2011,0,0,264,264,2.514285714,128,105,23
001,06090,Bennett (Part),2011,0,0,"1,991","1,991",2.738651994,772,727,45
081,20495,Dinosaur,2011,0,0,329,329,2.590551181,175,127,48
073,29680,Genoa,2014,0,0,141,141,2.274193548,85,62,23
063,69040,Seibert,2010,0,0,181,181,2.129411765,118,85,33
013,39195,Jamestown,2010,0,0,274,274,2.091603053,141,131,10
113,68655,Sawpit,2010,0,0,40,40,2.222222222,23,18,5
063,74485,Stratton,2010,0,0,658,652,2.271777003,346,287,59
047,07025,Black Hawk,2016,0,0,128,128,2.327272727,70,55,15
029,55980,Orchard City,2011,2,0,"3,070","3,015",2.342657343,"1,420","1,287",133
095,57245,Paoli,2010,0,0,34,34,2.125,23,16,7
123,37820,Hudson,2011,0,0,"2,383","1,512",2.907692308,560,520,40
075,50040,Merino,2011,1,0,284,284,2.62962963,121,108,13
119,80865,Victor,2011,0,0,395,395,1.872037915,337,211,126
119,80865,Victor,2013,0,0,391,391,1.870813397,337,209,128
109,51250,Moffat,2012,0,0,118,118,2.269230769,70,52,18
013,53175,Nederland,2011,1,0,"1,461","1,456",2.192771084,750,664,86
125,23025,Eckley,2010,0,0,257,257,2.336363636,132,110,22
109,07571,Bonanza City,2010,0,0,16,16,1.6,42,10,32
075,26875,Fleming,2012,0,0,403,403,2.472392638,204,163,41
123,26600,Firestone,2012,56,56,"10,870","10,870",3.080192689,"3,660","3,529",131
097,04935,Basalt (Part),2010,0,0,931,931,2.375,514,392,122
051,48555,Marble,2010,0,0,131,131,2.425925926,105,54,51
113,55870,Ophir,2014,0,0,191,191,2.690140845,74,71,3
075,18640,Crook,2010,0,0,110,110,1.929824561,76,57,19
059,52075,Morrison,2011,0,0,430,284,2.072992701,141,137,4
059,75640,Superior (Part),2011,0,0,,,,0,,
019,12910,Central City (Part),2012,0,0,,,,0,,
049,99990,Unincorp. Area,2018,83,,"8,337","8,173",2.24869326,"9,207","3,635","5,572"
107,86475,Yampa,2014,0,0,439,439,2.452513966,216,179,37
071,00000,LAS ANIMAS COUNTY,2011,66,0,"15,040","14,179",2.294707882,"8,285","6,179","2,106"
103,99990,Unincorp. Area,2016,10,62,"1,789","1,784",2.430517711,"1,114",734,380
105,19795,Del Norte,2012,0,0,"1,657","1,616",2.411940299,851,670,181
005,19630,Deer Trail,2013,0,0,572,572,2.373443983,274,241,33
085,53120,Naturita,2010,0,0,542,542,2.15936255,316,251,65
035,00000,DOUGLAS COUNTY,2012,"1,319","1,317","298,836","298,061",2.791643642,"109,770","106,769","3,001"
097,04935,Basalt (Part),2013,0,0,940,940,2.373737374,514,396,118
063,74485,Stratton,2015,0,0,654,648,2.273684211,346,285,61
035,12387,City of Castle Pines,2013,7,7,"10,678","10,670",2.965536409,"3,664","3,598",66
999,83835,Westminster (Total),2015,45,45,"112,828","112,351",2.577508087,"44,295","43,589",706
023,68105,San Luis,2014,0,1,633,633,2.213286713,393,286,107
015,99990,Unincorp. Area,2018,83,105,"10,240","8,916",2.227886057,"5,964","4,002","1,962"
089,13460,Cheraw,2012,0,0,249,249,2.59375,115,96,19
055,00000,HUERFANO COUNTY,2012,30,0,"6,542","6,377",2.087397709,"5,141","3,055","2,086"
125,23025,Eckley,2012,0,0,258,258,2.345454545,132,110,22
033,99990,Unincorp. Area,2017,,19,"1,054","1,054",2.286334056,906,461,445
049,28305,Fraser,2016,14,0,"1,261","1,256",2.258992806,"1,143",556,587
999,75640,Superior (Total),2011,1,0,"12,610","12,610",2.776309996,"4,699","4,542",157
015,67280,Salida,2018,44,100,"5,919","5,744",2.012613875,"3,246","2,854",392
059,23135,Edgewater,2010,0,0,"5,177","5,177",2.301911961,"2,436","2,249",187
025,55705,Olney Springs,2012,0,0,343,343,2.559701493,161,134,27
061,99990,Unincorp. Area,2015,0,4,636,636,2.334558824,382,272,110
051,48555,Marble,2013,0,0,131,131,2.425925926,105,54,51
085,55540,Olathe,2012,0,0,"1,796","1,728",3.026269702,634,571,63
013,75640,Superior (Part),2016,69,71,"13,115","13,115",2.776248942,"4,786","4,724",62
067,00000,LA PLATA COUNTY,2010,58,0,"51,441","49,726",2.351778282,"25,918","21,144","4,774"
045,30780,Glenwood Springs,2014,1,0,"9,810","9,633",2.498184647,"4,177","3,856",321
001,00000,ADAMS COUNTY,2014,"1,541",0,"480,214","476,079",2.878993487,"167,270","165,363","1,907"
113,55870,Ophir,2016,0,0,194,194,2.694444444,74,72,2
067,05265,Bayfield,2017,32,0,"2,701","2,701",2.584688995,"1,099","1,045",54
049,28305,Fraser,2014,7,0,"1,194","1,189",2.256166983,"1,116",527,589
051,33640,Gunnison,2013,3,2,"6,080","5,168",2.197278912,"2,680","2,352",328
037,22200,Eagle,2015,23,21,"6,730","6,661",2.956502441,"2,463","2,253",210
075,26875,Fleming,2017,1,0,404,404,2.478527607,208,163,45
061,22145,Eads,2016,0,0,575,561,2.077777778,352,270,82
123,24950,Erie (Part),2013,131,104,"11,148","11,148",2.803822938,"4,085","3,976",109
021,99990,Unincorp. Area,2014,10,0,"4,365","4,335",2.625681405,"2,637","1,651",986
059,43000,Lakewood,2018,839,924,"156,493","154,322",2.271612571,"70,270","67,935","2,335"
051,00000,GUNNISON COUNTY,2014,64,0,"15,799","14,808",2.220422852,"11,512","6,669","4,843"
043,27040,Florence,2011,1,0,"3,865","3,774",2.399237127,"1,750","1,573",177
043,15330,Coal Creek,2015,0,0,336,336,2.434782609,160,138,22
059,03455,Arvada (Part),2011,192,192,"105,022","104,522",2.478410357,"43,557","42,173","1,384"
087,27810,Fort Morgan,2012,2,2,"11,320","11,129",2.78085957,"4,289","4,002",287
075,73935,Sterling,2014,6,0,"14,082","10,812",2.251093067,"5,419","4,803",616
087,27810,Fort Morgan,2017,5,5,"11,163","10,972",2.781242079,"4,298","3,945",353
059,75640,Superior (Part),2010,0,0,,,,0,,
005,45255,Littleton (Part),2012,3,788,"41,322","40,831",2.217388943,"18,944","18,414",530
999,45255,Littleton (Total),2012,3,803,"43,813","43,322",2.251780238,"19,778","19,239",539
109,67005,Saguache,2015,0,0,479,461,1.97008547,345,234,111
077,28745,Fruita,2012,50,50,"12,878","12,670",2.635739546,"5,249","4,807",442
065,00000,LAKE COUNTY,2012,18,0,"7,203","7,136",2.42969016,"4,277","2,937","1,340"
107,55155,Oak Creek,2010,1,0,883,883,2.246819338,512,393,119
093,99990,Unincorp. Area,2014,55,0,"15,389","15,297",2.24988969,"13,362","6,799","6,563"
097,03620,Aspen,2016,399,399,"7,435","7,393",1.881649275,"6,789","3,929","2,860"
059,23135,Edgewater,2015,2,0,"5,336","5,336",2.301984469,"2,446","2,318",128
101,66895,Rye,2017,0,0,157,157,2.150684932,115,73,42
005,08070,Bow Mar (Part),2016,5,0,670,670,3.252427184,216,206,10
001,77290,Thornton (Part),2012,249,250,"125,022","124,560",2.860554841,"44,079","43,544",535
085,51745,Montrose,2017,56,57,"19,231","18,783",2.373688866,"8,994","7,913","1,081"
037,22200,Eagle,2016,20,27,"6,828","6,759",2.956692913,"2,483","2,286",197
063,26765,Flagler,2011,0,0,568,568,2.088235294,328,272,56
021,02355,Antonito,2013,0,0,769,768,2.265486726,409,339,70
123,45970,Longmont (Part),2010,0,8,43,27,1.8,21,15,6
045,70195,Silt,2016,9,9,"3,100","3,100",2.97219559,"1,111","1,043",68
013,41835,Lafayette,2016,256,0,"28,162","28,072",2.535633637,"11,142","11,071",71
067,05265,Bayfield,2014,14,14,"2,532","2,532",2.583673469,"1,034",980,54
117,08400,Breckenridge,2017,23,0,"4,972","4,869",2.280562061,"7,195","2,135","5,060"
117,99990,Unincorp. Area,2014,56,0,"15,528","15,360",2.386420137,"15,814","6,436","9,378"
073,44980,Limon,2010,1,0,"1,883","1,883",2.271411339,964,829,135
123,99990,Unincorp. Area,2017,140,140,"49,123","49,084",2.715714048,"18,390","18,003",387
999,06255,Berthoud (Total),2016,216,111,"6,216","6,147",2.52962963,"2,473","2,430",43
103,62880,Rangely,2017,1,0,"2,281","2,088",2.462264151,"1,042",848,194
005,45255,Littleton (Part),2017,696,"1,428","44,998","44,507",2.220354203,"20,045","20,045",0
011,43660,Las Animas,2018,0,,"2,170","2,092",2.321864595,"1,214",901,313
035,00000,DOUGLAS COUNTY,2011,"1,539",957,"292,650","291,878",2.791701737,"108,488","104,552","3,936"
001,54330,Northglenn (Part),2011,0,0,"36,426","36,297",2.643819652,"14,263","13,729",534
097,71755,Snowmass Village,2013,3,0,"2,876","2,866",2.121391562,"2,374","1,351","1,023"
999,03455,Arvada (Total),2016,780,761,"117,785","117,055",2.485613573,"47,529","47,093",436
047,12910,Central City (Part),2011,0,0,662,662,1.941348974,489,341,148
109,12855,Center (Part),2017,0,0,"2,072","2,072",2.85399449,829,726,103
077,99990,Unincorp. Area,2010,43,180,"70,283","70,053",2.595361589,"29,353","26,992","2,361"
123,26600,Firestone,2016,283,283,"12,904","12,904",3.079713604,"4,190","4,190",0
073,00000,LINCOLN COUNTY,2012,4,0,"5,442","4,415",2.275773196,"2,426","1,940",486
067,99990,Unincorp. Area,2015,127,151,"33,315","33,222",2.428153779,"17,409","13,682","3,727"
123,43605,La Salle,2013,1,0,"2,031","2,031",2.797520661,749,726,23
019,70360,Silver Plume,2013,0,0,168,168,2.024096386,145,83,62
081,99990,Unincorp. Area,2011,5,0,"3,898","3,895",2.577763071,"1,948","1,511",437
123,28360,Frederick,2012,113,113,"9,381","9,381",2.941674506,"3,240","3,189",51
037,50920,Minturn,2010,2,0,"1,027","1,027",2.445238095,530,420,110
095,57245,Paoli,2011,0,0,34,34,2.125,23,16,7
041,51800,Monument,2018,39,192,"6,997","6,997",3.112544484,"2,264","2,248",16
117,00000,SUMMIT COUNTY,2015,211,0,"30,124","29,851",2.359016912,"30,714","12,654","18,060"
123,99990,Unincorp. Area,2010,12,0,"42,570","42,531",2.715756491,"17,008","15,638","1,370"
029,99990,Unincorp. Area,2018,,,"13,740","13,245",2.411250683,"6,766","5,493","1,273"
037,04110,Avon,2010,0,0,"6,425","6,425",2.777777778,"3,615","2,313","1,302"
047,00000,GILPIN COUNTY,2010,4,0,"5,463","5,414",2.191015783,"3,564","2,471","1,093"
009,99990,Unincorp. Area,2014,0,0,"1,305","1,305",2.328571429,824,560,264
109,07571,Bonanza City,2018,2,,4,4,1,38,4,34
071,08345,Branson,2017,0,0,65,65,2.24137931,45,29,16
057,82130,Walden,2011,1,21,590,588,2.085106383,378,282,96
075,00000,LOGAN COUNTY,2010,4,0,"22,293","18,819",2.337183308,"8,985","8,052",933
019,70360,Silver Plume,2012,0,0,168,168,2.024096386,145,83,62
009,82460,Walsh,2018,0,,511,489,2.08974359,350,234,116
015,67280,Salida,2017,36,103,"5,800","5,625",2.012522361,"3,204","2,795",409
011,43660,Las Animas,2014,0,14,"2,187","2,109",2.322687225,"1,214",908,306
083,20770,Dolores,2011,0,0,931,922,2.149184149,501,429,72
123,06255,Berthoud (Part),2011,11,0,64,64,3.368421053,20,19,1
003,00000,ALAMOSA COUNTY,2013,73,0,"15,749","15,009",2.452050319,"6,722","6,121",601
067,05265,Bayfield,2010,10,1,"2,357","2,357",2.584429825,976,912,64
025,00000,CROWLEY COUNTY,2017,4,0,"5,777","2,954",2.407497963,"1,584","1,227",357
123,22860,Eaton,2010,1,0,"4,379","4,379",2.693111931,"1,699","1,626",73
069,39855,Johnstown (Part),2013,122,122,"1,154","1,154",2.384297521,577,484,93
111,00000,SAN JUAN COUNTY,2012,1,0,694,694,2.029239766,759,342,417
121,99990,Unincorp. Area,2013,1,0,"2,497","2,497",2.461083744,"1,344","1,015",329
077,19355,De Beque,2011,1,0,501,499,2.64021164,223,189,34
107,35070,Hayden,2013,4,1,"1,822","1,822",2.455525606,813,742,71
999,03455,Arvada (Total),2013,428,417,"111,800","111,149",2.481669197,"45,654","44,788",866
109,99990,Unincorp. Area,2013,30,31,"3,486","3,486",2.133906634,"2,543","1,628",915
077,56970,Palisade,2015,5,5,"2,754","2,622",2.212658228,"1,325","1,185",140
095,34960,Haxtun,2017,0,0,923,903,2.029213483,509,445,64
045,70195,Silt,2015,6,0,"3,033","3,033",2.970617042,"1,102","1,021",81
101,62000,Pueblo,2013,208,208,"107,470","103,679",2.368885233,"48,035","43,767","4,268"
045,30780,Glenwood Springs,2018,0,,"10,024","9,847",2.497970573,"4,186","3,942",244
061,34740,Haswell,2018,0,,67,67,2.03030303,42,33,9
037,04110,Avon,2016,8,0,"6,649","6,649",2.777360067,"3,659","2,394","1,265"
061,00000,KIOWA COUNTY,2018,0,,"1,373","1,359",2.235197368,821,608,213
051,00000,GUNNISON COUNTY,2016,101,0,"16,448","15,429",2.22,"11,565","6,950","4,615"
027,00000,CUSTER COUNTY,2015,43,0,"4,430","4,415",2.133881102,"4,243","2,069","2,174"
111,70580,Silverton,2017,5,20,647,647,1.99691358,512,324,188
089,00000,OTERO COUNTY,2017,3,0,"18,362","17,839",2.38012008,"8,999","7,480","1,519"
113,76795,Telluride,2013,8,0,"2,423","2,423",2.140459364,"2,106","1,132",974
045,99990,Unincorp. Area,2011,28,0,"22,560","22,109",2.710765081,"9,807","8,156","1,651"
011,00000,BENT COUNTY,2011,5,1,"6,335","4,221",2.342397336,"2,248","1,802",446
123,45970,Longmont (Part),2016,0,0,136,120,1.739130435,89,69,20
117,08400,Breckenridge,2014,55,0,"4,756","4,653",2.279764821,"7,089","2,041","5,048"
047,00000,GILPIN COUNTY,2018,34,,"6,098","6,049",2.186122154,"3,708","2,767",941
061,00000,KIOWA COUNTY,2016,0,0,"1,343","1,329",2.237373737,820,594,226
059,45255,Littleton (Part),2010,3,0,"2,393","2,393",3.044529262,805,786,19
005,16385,Columbine Valley,2017,17,0,"1,478","1,478",2.557093426,586,578,8
091,56420,Ouray,2013,1,0,"1,012","1,012",2.19047619,807,462,345
067,00000,LA PLATA COUNTY,2015,278,0,"54,765","52,739",2.35189975,"26,948","22,424","4,524"
103,00000,RIO BLANCO COUNTY,2014,9,0,"6,603","6,347",2.429938744,"3,359","2,612",747
113,76795,Telluride,2015,21,0,"2,482","2,482",2.141501294,"2,131","1,159",972
123,43605,La Salle,2018,0,,"2,346","2,346",2.789536266,841,841,0
049,85705,Winter Park,2018,48,,"1,052","1,039",2.049309665,"2,736",507,"2,229"
025,99990,Unincorp. Area,2017,3,0,"4,052","1,264",2.49112426,642,507,135
003,01090,Alamosa,2012,41,11,"8,934","8,262",2.366657118,"3,745","3,491",254
015,10105,Buena Vista,2018,21,,"2,913","2,913",2.191873589,"1,516","1,329",187
123,59005,Pierce,2012,0,13,920,920,2.674418605,363,344,19
039,70635,Simla,2015,0,0,636,606,2.657894737,266,228,38
063,10600,Burlington,2013,0,0,"4,233","3,183",2.357777778,"1,480","1,350",130
105,72395,South Fork,2018,2,,358,352,2.146341463,605,164,441
011,00000,BENT COUNTY,2017,2,0,"5,835","3,901",2.341536615,"2,262","1,666",596
041,48445,Manitou Springs,2010,4,0,"5,022","4,989",1.980547836,"2,800","2,519",281
005,12815,Centennial,2014,33,33,"107,512","105,811",2.731099812,"39,450","38,743",707
053,42330,Lake City,2012,0,0,385,385,2.127071823,448,181,267
105,19795,Del Norte,2013,0,0,"1,624","1,583",2.413109756,851,656,195
013,82735,Ward,2011,0,0,151,151,2.013333333,101,75,26
999,83835,Westminster (Total),2014,38,38,"111,827","111,350",2.537024379,"44,251","43,890",361
123,19080,Dacono,2010,5,0,"4,175","4,175",2.845944104,"1,560","1,467",93
999,54330,Northglenn (Total),2014,228,228,"38,534","38,405",2.649534322,"14,497","14,495",2
999,12910,Central City (Total),2014,8,0,711,711,1.9373297,501,367,134
089,27975,Fowler,2016,0,0,"1,140","1,103",2.175542406,597,507,90
041,51800,Monument,2014,29,0,"6,009","6,009",3.068947906,"1,994","1,958",36
033,21265,Dove Creek,2017,0,0,722,722,2.375,360,304,56
117,28690,Frisco,2012,37,0,"2,755","2,755",2.066766692,"3,194","1,333","1,861"
111,99990,Unincorp. Area,2011,0,0,61,61,2.44,256,25,231
123,06255,Berthoud (Part),2018,4,10,215,215,3.412698413,64,63,1
069,25115,Estes Park,2014,25,0,"6,109","6,072",2.081590675,"4,212","2,917","1,295"
033,64090,Rico,2017,0,0,263,263,2.120967742,212,124,88
031,20000,Denver,2015,"6,117","6,117","685,057","668,540",2.220303351,"307,093","301,103","5,990"
089,42110,La Junta,2013,0,338,"6,932","6,649",2.327266363,"3,425","2,857",568
007,00000,ARCHULETA COUNTY,2015,75,0,"12,411","12,282",2.269820736,"9,095","5,411","3,684"
117,70525,Silverthorne,2015,26,0,"4,399","4,397",2.677831912,"2,236","1,642",594
111,00000,SAN JUAN COUNTY,2018,7,,760,760,2.032085561,786,374,412
